   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   1    2   11   1.138034   -77.157359    -3.805567      77.2512   24.65299    0.43390    6
   1    4    0   1.136823     6.968385    -3.678134      7.87953   24.67968    0.00450    6
   4    1    0   1.136823     6.149569    -3.726801      7.19071   24.67968    0.00375    6
   2    2   -9   1.127678    23.784865     2.959214      23.9682   24.88301    0.04096    6
   2    2    9   1.127678  -271.544818   -14.679685      271.941   24.88301    5.27293    6
   4    0    7   1.119593     4.948120    -0.966887       5.0417   25.06560    0.00178    6
   3    2   -5   1.113642    37.210642     3.488198      37.3738   25.20174    0.09696    6
   2    3    5   1.113642   -16.565069     0.251659       16.567   25.20174    0.01905    6
   4    1    3   1.109727  -255.083333   -11.649958      255.349   25.29211    4.49231    6
   4    1   -3   1.109727    93.381745     9.368404      93.8505   25.29211    0.60684    6
   1    4    3   1.109727  -255.712368   -11.687900      255.979   25.29211    4.51451    6
   1    4   -3   1.109727    93.643071     9.384167      94.1121   25.29211    0.61023    6
   0    4    8   1.077377    79.249652     3.789181      79.3402   26.06472    0.40704    6
   0    2   13   1.074853    61.304489     0.723620      61.3088   26.12703    0.24183    6
   0    1   14   1.072254    21.823172     0.916635      21.8424   26.19147    0.03054    6
   3    1  -10   1.051778   -26.306678     0.595168      26.3134   26.71069    0.04251    6
   1    3   10   1.051778  -113.690651    -4.859440      113.794   26.71069    0.79508    6
   2    3   -7   1.049258   106.422192     5.423227       106.56   26.77605    0.69361    6
   3    2    7   1.049258   113.113414     5.841564      113.264   26.77605    0.78363    6
   0    5    1   1.039520   -61.584609    -3.290437      61.6724   27.03161    0.22770    6
   1    4    6   1.038762   237.245778    12.165818      237.558   27.05171    3.37319    6
   1    4   -6   1.038762    90.311253     2.917727      90.3584   27.05171    0.48802    6
   4    1    6   1.038762   237.698208    12.194294      238.011   27.05171    3.38607    6
   4    1   -6   1.038762    91.138048     2.969766      91.1864   27.05171    0.49701    6
   5    0    2   1.032433    60.823265     2.771070      60.8864   27.22073    0.21868    6
   3    0   12   1.029473   130.799009     8.229222      131.058   27.30052    1.00692    6
   0    3   12   1.029473   131.021694     8.243323      131.281   27.30052    1.01036    6
   0    0   15   1.022667  -168.445588   -11.993693      168.872   27.48576    0.54933    2
   3    2   -8   1.014271   -11.159144    -1.770172      11.2987   27.71779    0.00725    6
   2    3    8   1.014271   -25.981847    -2.718370      26.1237   27.71779    0.03874    6
   1    2  -13   1.012164    97.049109     3.236121       97.103   27.77666    0.53284    6
   2    1   13   1.012164    68.880994     1.431633      68.8959   27.77666    0.26824    6
   2    0   14   1.009993    65.188599     3.760838       65.297   27.83756    0.23983    6
   0    5    4   1.005467   -52.041079    -3.123686      52.1347   27.96540    0.15140    6
   1    3  -11   1.003414   -69.589300    -3.744490        69.69   28.02379    0.26933    6
   3    1   11   1.003414    12.456287     1.543276      12.5515   28.02379    0.00874    6
   3    3    0   1.002583   275.356359    13.854053      275.705   28.04749    4.20784    6
   4    0   10   0.992826   -66.439057    -2.122186      66.4729   28.32886    0.23946    6
   5    0    5   0.986575    24.163511     2.766673      24.3214   28.51214    0.03162    6
   3    3    3   0.983850  -136.301730    -5.338655      136.406   28.59279    0.98863    6
   3    3   -3   0.983850  -130.455830    -4.956608       130.55   28.59279    0.90556    6
   4    2   -1   0.982496    -0.404216     0.537413     0.672461   28.63304    0.00002    6
   2    4    1   0.982496    67.297962     4.966314       67.481   28.63304    0.24123    6
   4    2    2   0.976506   -59.541044    -4.955619      59.7469   28.81247    0.18660    6
   2    4   -2   0.976506    43.453233     1.811724       43.491   28.81247    0.09887    6
   2    2  -12   0.974000  -162.450594   -10.750204      162.806   28.88821    1.37779    6
   2    2   12   0.974000    85.637520     5.581007      85.8192   28.88821    0.38284    6
   1    1   15   0.968230    41.668654     1.507559      41.6959   29.06414    0.08921    6
   1    1  -15   0.968230   165.147347     9.671149       165.43   29.06414    1.40425    6
   2    1  -14   0.957454    33.536091     1.811674       33.585   29.39858    0.05648    6
   1    2   14   0.957454    41.499337     2.342499      41.5654   29.39858    0.08651    6
   4    2   -4   0.953595    36.530222     2.676267      36.6281   29.52022    0.06659    6
   2    4    4   0.953595   -91.985021    -5.916188      92.1751   29.52022    0.42169    6
   0    4   11   0.951843   -27.876395    -1.134227      27.8995   29.57580    0.03848    6
   1    4   -9   0.945759  -203.116038   -12.219988      203.483   29.77046    2.01825    6
   4    1    9   0.945759     7.455809     1.945835      7.70554   29.77046    0.00289    6
   4    1   -9   0.945759  -203.241378   -12.228421      203.609   29.77046    2.02074    6
   1    4    9   0.945759     8.119652     1.990493      8.36007   29.77046    0.00341    6
   1    0   16   0.942915   -90.303783    -2.830618      90.3481   29.86233    0.39527    6
   2    3  -10   0.942791   -55.460243    -1.581950      55.4828   29.86635    0.14902    6
   3    2   10   0.942791  -102.262107    -4.737915      102.372   29.86635    0.50732    6
   0    5    7   0.940974   121.583347     7.012281      121.785   29.92536    0.71496    6
   4    2    5   0.937433    20.808649     2.569958      20.9667   30.04106    0.02102    6
   2    4   -5   0.937433   -85.788123    -4.649197       85.914   30.04106    0.35288    6
   1    5   -1   0.933932   -25.997027    -1.228870      26.0261   30.15636    0.03212    6
   5    1    1   0.933932    27.201958     2.384249      27.3062   30.15636    0.03536    6
   3    3    6   0.933382   -62.045532    -6.875897      62.4254   30.17454    0.18454    6
   3    3   -6   0.933382   -64.749450    -6.053231      65.0318   30.17454    0.20027    6
   1    5    2   0.928782   -19.319133    -2.327560      19.4588   30.32757    0.01774    6
   5    1   -2   0.928782    51.628968     2.511471        51.69   30.32757    0.12516    6
   5    0    8   0.915493   -35.214839    -3.445246       35.383   30.77860    0.05682    6
   1    3   13   0.913942   120.700074     5.458981      120.823   30.83212    0.66004    6
   3    1  -13   0.913942    90.053730     3.342462      90.1157   30.83212    0.36717    6
   1    5   -4   0.909003     9.307385     0.896718      9.35048   31.00384    0.00391    6
   5    1    4   0.909003   -82.173996    -5.448196      82.3544   31.00384    0.30301    6
   3    2  -11   0.907485   -57.350156    -3.253108      57.4423   31.05701    0.14687    6
   2    3   11   0.907485   -14.663693   -31.894555      35.1039   31.05701    0.05485    6
   0    2   16   0.899738   -64.148850    -1.283525      64.1617   31.33127    0.17981    6
   4    2   -7   0.898052    32.087297     1.049049      32.1044   31.39163    0.04483    6
   2    4    7   0.898052    28.076380     0.768169      28.0869   31.39163    0.03431    6
   1    5    5   0.894972    27.914693     3.090592      28.0853   31.50246    0.03405    6
   5    1   -5   0.894972   -51.639265    -2.495825      51.6995   31.50246    0.11538    6
   0    1   17   0.889114   -31.440598    -1.937882      31.5003   31.71545    0.04222    6
   3    0   15   0.881209  -120.454892    -9.746342      120.849   32.00755    0.60917    6
   0    3   15   0.881209  -120.374252    -9.740608      120.768   32.00755    0.60835    6
   4    2    8   0.875821    62.240806     3.447593      62.3362   32.20981    0.15989    6
   2    4   -8   0.875821    21.977048     0.569971      21.9844   32.20981    0.01989    6
   4    0   13   0.874463   108.888535     4.952486      109.001   32.26119    0.48720    6
   3    1   14   0.873062     3.543406    -0.199940      3.54904   32.31437    0.00051    6
   1    3  -14   0.873062     8.980175     0.189636      8.98218   32.31437    0.00330    6
   6    0    0   0.868263   214.332307    11.728251      214.653   32.49793    1.85974    6
   3    3    9   0.864168    43.703668     4.573577      43.9423   32.65622    0.07712    6
   3    3   -9   0.864168    40.138666     4.315936        40.37   32.65622    0.06509    6
   2    1   16   0.861997   -95.137327    -3.736092      95.2107   32.74078    0.36004    6
   1    2  -16   0.861997   -53.895544    -0.749260      53.9008   32.74078    0.11539    6
   0    5   10   0.861902   -77.545507    -3.495604      77.6243   32.74448    0.23926    6
   1    5   -7   0.860513    63.918411     3.429015      64.0103   32.79881    0.16211    6
   5    1    7   0.860513    56.786212     2.911733      56.8608   32.79881    0.12792    6
   6    0    3   0.856010  -111.377289    -4.718243      111.477   32.97629    0.48597    6
   0    6    3   0.856010   -93.617676    -0.441945      93.6187   32.97629    0.34274    6
   4    3    1   0.855117    34.188884     2.957007      34.3165   33.01168    0.04594    6
   3    4   -1   0.855117    63.870626     5.121226      64.0756   33.01168    0.16018    6
   2    0   17   0.852641   -41.835656    -2.741963      41.9254   33.11033    0.06813    6
   0    0   18   0.852222   -63.251032    -2.520827      63.3012   33.12705    0.05172    2
   4    3   -2   0.851159   -52.741235    -4.793556      52.9586   33.16962    0.10829    6
   3    4    2   0.851159    -0.980256    -1.004512      1.40355   33.16962    0.00008    6
   1    4  -12   0.849498    64.097227     4.610845      64.2629   33.23635    0.15876    6
   4    1   12   0.849498  -115.398273    -8.550645      115.715   33.23635    0.51477    6
   4    1  -12   0.849498    63.578064     4.572777      63.7423   33.23635    0.15620    6
   1    4   12   0.849498  -115.336568    -8.546120      115.653   33.23635    0.51422    6
   2    2  -15   0.845662    31.230496     1.152327      31.2517   33.39153    0.03717    6
   2    2   15   0.845662   121.453200     7.793623      121.703   33.39153    0.56370    6
   5    1   -8   0.840896     0.196797    -0.972994     0.992696   33.58637    0.00004    6
   1    5    8   0.840896    25.559539     0.903080      25.5755   33.58637    0.02458    6
