   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   3    1   -1   1.438509   139.287716    45.887625      146.652   19.44659    2.42848    3
   1    3    1   1.438509    -2.253953    53.747175      53.7944   19.44659    0.32676    3
  -3   -1    1   1.438509   141.671594   -29.535125      144.718   19.44659    2.36484    3
  -1   -3   -1   1.438509     4.866451   -51.997143      52.2244   19.44659    0.30797    3
   3    0    6   1.436503  -190.487855  -138.212034      235.347   19.47401    6.23611    3
   0    3   -6   1.436503  -202.925415   114.494711      232.997   19.47401    6.11221    3
   0    3    6   1.436503  -188.121196  -141.328018      235.294   19.47401    6.23329    3
   3    0   -6   1.436503  -200.898017   117.841364      232.909   19.47401    6.10758    3
   3    1    2   1.419902    51.797312   -58.777934      78.3442   19.70395    0.67450    3
   1    3   -2   1.419902  -174.625988    34.663360      178.033   19.70395    3.48312    3
  -1   -3    2   1.419902  -170.120947   -52.886699      178.152   19.70395    3.48778    3
  -3   -1   -2   1.419902    45.438905    63.884283      78.3958   19.70395    0.67539    3
   2    1   -8   1.373735   -61.999291   116.109575      131.626   20.37309    1.77685    3
  -2   -1    8   1.373735   -54.709576  -124.522531      136.011   20.37309    1.89722    3
   1    2    8   1.373735    83.026162   -50.801920      97.3354   20.37309    0.97165    3
  -1   -2   -8   1.373735    82.831189    57.543420      100.858   20.37309    1.04325    3
   3    1   -4   1.352096   -57.009934    76.179381      95.1495   20.70271    0.89814    3
  -3   -1    4   1.352096   -49.415489   -80.216685      94.2157   20.70271    0.88060    3
  -1   -3   -4   1.352096   115.412049   -40.637229      122.357   20.70271    1.48522    3
   1    3    4   1.352096   109.409914    54.505074      122.235   20.70271    1.48224    3
   0    1   11   1.347115    12.948613    87.545362      88.4978   20.78010    0.77097    3
   1    0  -11   1.347115    18.808884   -86.025136      88.0574   20.78010    0.76331    3
   2    0  -10   1.321814    42.833097   -25.048995      49.6198   21.18241    0.23292    3
   0    2   10   1.321814    40.128929    30.259564      50.2591   21.18241    0.23896    3
   3    1    5   1.307169   -70.198790   -12.447553      71.2938   21.42252    0.46971    3
   1    3   -5   1.307169   -13.105093  -131.514590      132.166   21.42252    1.61424    3
  -1   -3    5   1.307169   -22.269937   128.037543       129.96   21.42252    1.56080    3
  -3   -1   -5   1.307169   -76.148161     2.868475      76.2022   21.42252    0.53662    3
   4    0    1   1.297725    62.278047     8.925507      62.9144   21.58027    0.36025    3
   0    4   -1   1.297725    64.453599    -0.288701      64.4542   21.58027    0.37810    3
   2    2   -6   1.296252   145.591236   -49.335323      153.723   21.60510    2.14560    3
   2    2    6   1.296252   150.500933    92.640778      176.728   21.60510    2.83584    3
  -2   -2   -6   1.296252   160.938582   -78.374541      179.008   21.60510    2.90947    3
  -2   -2    6   1.296252   138.444637    62.088151       151.73   21.60510    2.09031    3
   0    4    2   1.284014   -66.678094   -43.413523      79.5657   21.81352    0.56345    3
   4    0   -2   1.284014   -70.887432    35.601772      79.3254   21.81352    0.56005    3
   0    0  -12   1.278333   128.140409  -293.497382      320.251   21.91166    3.01442    1
   0    0   12   1.278333    95.964039   308.927183      323.489   21.91166    3.07569    1
   4    0    4   1.233219    31.469295     6.432555        32.12   22.72373    0.08433    3
   0    4   -4   1.233219    32.613159    -1.089927      32.6314   22.72373    0.08703    3
   0    2  -11   1.229436   -63.333057   -15.233280      65.1393   22.79457    0.34457    3
   2    0   11   1.229436   -61.367584     7.947389      61.8801   22.79457    0.31095    3
   3    0    9   1.216408   -43.072334   -60.530253      74.2909   23.04204    0.43820    3
   0    3   -9   1.216408   -47.987632    57.960288      75.2476   23.04204    0.44956    3
   0    3    9   1.216408   -45.338120   -63.598295      78.1043   23.04204    0.48434    3
   3    0   -9   1.216408   -50.588201    60.750218      79.0554   23.04204    0.49621    3
   1    2  -10   1.210113   -39.866018    46.505779      61.2543   23.16356    0.29465    3
  -1   -2   10   1.210113   -34.063272   -49.967377      60.4735   23.16356    0.28718    3
   2    1   10   1.210113    -3.738007    73.243656       73.339   23.16356    0.42237    3
  -2   -1  -10   1.210113     4.338367   -72.433502      72.5633   23.16356    0.41349    3
   3    1   -7   1.206278  -113.929330    18.981226        115.5   23.23821    1.04056    3
   1    3    7   1.206278    44.563579   -23.166661      50.2256   23.23821    0.19677    3
  -3   -1    7   1.206278  -107.977093   -30.921973      112.318   23.23821    0.98402    3
  -1   -3   -7   1.206278    38.496504    28.736605      48.0393   23.23821    0.18001    3
   0    4    5   1.198845   -44.913811    55.497616      71.3949   23.38433    0.39242    3
   4    0   -5   1.198845   -43.093592   -61.917336      75.4375   23.38433    0.43812    3
   2    3   -1   1.191548   -61.043235    48.951329      78.2465   23.52958    0.46529    3
   3    2    1   1.191548  -117.548546   -67.707468      135.654   23.52958    1.39847    3
  -3   -2   -1   1.191548  -122.928033    55.463306      134.861   23.52958    1.38217    3
  -2   -3    1   1.191548   -56.826673   -54.106428      78.4651   23.52958    0.46789    3
   3    2   -2   1.180908    14.486537   -37.300973      40.0153   23.74465    0.11939    3
  -3   -2    2   1.180908     9.857444    38.417008      39.6615   23.74465    0.11729    3
  -2   -3   -2   1.180908    66.098891   -23.561830      70.1728   23.74465    0.36716    3
   2    3    2   1.180908    62.713913    30.749355      69.8467   23.74465    0.36376    3
   1    1  -12   1.176484  -126.049691    94.125816      157.316   23.83524    1.83062    3
   1    1   12   1.176484   -60.792364   -68.654157      91.7012   23.83524    0.62202    3
  -1   -1  -12   1.176484   -69.741874    63.822374      94.5369   23.83524    0.66109    3
  -1   -1   12   1.176484  -113.201397  -105.289689      154.598   23.83524    1.76792    3
   3    1    8   1.153948   -52.018619   -75.200825      91.4391   24.30778    0.59353    3
  -1   -3    8   1.153948   112.263060    21.304175      114.267   24.30778    0.92687    3
   1    3   -8   1.153948   119.202044    -9.902365      119.613   24.30778    1.01563    3
  -3   -1   -8   1.153948   -55.273767    66.647471      86.5857   24.30778    0.53220    3
   0    1  -13   1.150847    53.788590   -41.907670       68.187   24.37427    0.32817    3
   1    0   13   1.150847    50.914640    43.893985      67.2234   24.37427    0.31896    3
   3    2    4   1.141032   -81.983873    23.457253      85.2737   24.58720    0.50396    3
  -2   -3    4   1.141032  -114.728730   -11.818617      115.336   24.58720    0.92192    3
   2    3   -4   1.141032  -114.828538    -0.094621      114.829   24.58720    0.91382    3
  -3   -2   -4   1.141032   -78.143912   -31.253101      84.1619   24.58720    0.49090    3
   2    1  -11   1.138034    -6.423325  -102.438346       102.64   24.65299    0.72603    3
  -2   -1   11   1.138034   -15.436086   100.941658      102.115   24.65299    0.71863    3
   1    2   11   1.138034    -6.607714     8.213889      10.5418   24.65299    0.00766    3
  -1   -2  -11   1.138034    -8.633792    -9.317489      12.7027   24.65299    0.01112    3
  -1   -4    0   1.136823   -81.961789   -19.062829      84.1494   24.67968    0.48690    3
   4    1    0   1.136823   -13.030852    30.546539      33.2099   24.67968    0.07584    3
   1    4    0   1.136823    -4.202254    26.500065      26.8312   24.67968    0.04950    3
  -4   -1    0   1.136823    -8.907034   -38.837064      39.8454   24.67968    0.10917    3
   2    2   -9   1.127678   107.735855  -103.304921      149.261   24.88301    1.50571    3
   2    2    9   1.127678  -157.506684  -168.675836      230.781   24.88301    3.59956    3
  -2   -2    9   1.127678    92.834640   117.906961      150.068   24.88301    1.52203    3
  -2   -2   -9   1.127678  -174.937058   151.442998      231.383   24.88301    3.61835    3
   4    0    7   1.119593   -25.478381   -24.661566       35.459   25.06560    0.08368    3
   0    4   -7   1.119593   -31.239549    21.946465       38.178   25.06560    0.09701    3
   3    2   -5   1.113642   137.360908   -85.231333      161.655   25.20174    1.71949    3
  -3   -2    5   1.113642   131.002682   100.188469      164.923   25.20174    1.78970    3
  -2   -3   -5   1.113642    85.407638   -67.044924      108.579   25.20174    0.77574    3
   2    3    5   1.113642    81.605666    75.902203      111.448   25.20174    0.81727    3
   4    1   -3   1.109727    85.546078     1.522415      85.5596   25.29211    0.47806    3
   4    1    3   1.109727  -194.989908   -79.693900      210.647   25.29211    2.89773    3
  -4   -1   -3   1.109727  -204.486365   -39.874095      208.338   25.29211    2.83455    3
  -4   -1    3   1.109727    83.129814    11.921799      83.9803   25.29211    0.46058    3
  -1   -4   -3   1.109727  -204.569296    67.549276      215.433   25.29211    3.03091    3
  -1   -4    3   1.109727    90.412700     6.519555      90.6475   25.29211    0.53661    3
   1    4   -3   1.109727    92.126829     7.760873      92.4531   25.29211    0.55820    3
   1    4    3   1.109727  -196.946040   -88.497277      215.916   25.29211    3.04450    3
   0    4    8   1.077377    43.752796   -25.693753      50.7393   26.06472    0.15779    3
   4    0   -8   1.077377    45.291434    28.914036      53.7339   26.06472    0.17697    3
   0    2   13   1.074853   -13.463886   -31.545016      34.2982   26.12703    0.07174    3
   2    0  -13   1.074853    47.173578    39.171864      61.3171   26.12703    0.22928    3
   0    1   14   1.072254    31.423352   -80.540159      86.4531   26.19147    0.45343    3
   1    0  -14   1.072254    26.508328    83.775677      87.8695   26.19147    0.46840    3
   3    1  -10   1.051778   -36.095074   -62.147974      71.8695   26.71069    0.30061    3
   1    3   10   1.051778   -85.226423   -96.609431      128.829   26.71069    0.96593    3
  -3   -1   10   1.051778   -43.401294    58.123668      72.5399   26.71069    0.30625    3
  -1   -3  -10   1.051778   -96.837794    86.182721      129.634   26.71069    0.97804    3
   3    2    7   1.049258    69.144087   109.901351      129.843   26.77605    0.97613    3
  -2   -3    7   1.049258    27.727814    71.394675        76.59   26.77605    0.33964    3
   2    3   -7   1.049258    33.529601   -66.982125      74.9055   26.77605    0.32486    3
  -3   -2   -7   1.049258    79.419505  -100.030398      127.724   26.77605    0.94454    3
   5    0   -1   1.039520  -135.854061    66.938929       151.45   27.03161    1.30159    3
   0    5    1   1.039520  -128.340689   -81.907102       152.25   27.03161    1.31537    3
   4    1   -6   1.038762   119.212701   -75.974934      141.364   27.05171    1.13222    3
   4    1    6   1.038762   125.408525    31.882483      129.398   27.05171    0.94864    3
  -1   -4   -6   1.038762   120.946540   -18.158893      122.302   27.05171    0.84746    3
  -1   -4    6   1.038762   103.952120    79.573276      130.912   27.05171    0.97098    3
   1    4   -6   1.038762   114.557232   -68.463054      133.456   27.05171    1.00908    3
  -4   -1   -6   1.038762   129.864661   -18.458339       131.17   27.05171    0.97481    3
  -4   -1    6   1.038762   107.628983    87.609595      138.778   27.05171    1.09117    3
   1    4    6   1.038762   116.598329    30.467215      120.513   27.05171    0.82285    3
   5    0    2   1.032433    53.627787    65.828040      84.9074   27.22073    0.40309    3
   0    5   -2   1.032433    61.844516   -58.996231       85.471   27.22073    0.40846    3
   3    0   12   1.029473    65.353709   210.979063      220.869   27.30052    2.71075    3
   0    3  -12   1.029473    90.203842  -198.681890        218.2   27.30052    2.64563    3
   0    3   12   1.029473    62.521079   211.902425      220.933   27.30052    2.71232    3
   3    0  -12   1.029473    87.510310  -199.955181      218.266   27.30052    2.64723    3
   0    0  -15   1.022667    58.103434   -16.952746      60.5261   27.48576    0.06689    1
   0    0   15   1.022667    56.564279    22.911778      61.0284   27.48576    0.06800    1
   2    3    8   1.014271    -6.919099  -128.617422      128.803   27.71779    0.89267    3
  -3   -2    8   1.014271    37.568501  -111.029430      117.213   27.71779    0.73924    3
  -2   -3   -8   1.014271   -18.410816   124.738465       126.09   27.71779    0.85545    3
   3    2   -8   1.014271    27.955193   112.962324       116.37   27.71779    0.72865    3
   1    2  -13   1.012164    10.510552    11.964412      15.9254   27.77666    0.01358    3
  -1   -2   13   1.012164    14.445864   -14.471321      20.4475   27.77666    0.02240    3
   2    1   13   1.012164    85.493795    56.109323      102.262   27.77666    0.56015    3
  -2   -1  -13   1.012164    89.983752   -48.973644      102.448   27.77666    0.56219    3
   0    2  -14   1.009993     1.639973    24.864863      24.9189   27.83756    0.03311    3
   2    0   14   1.009993    -0.175033   -25.049208      25.0498   27.83756    0.03346    3
   5    0   -4   1.005467  -124.216372   -38.038245       129.91   27.96540    0.89107    3
   0    5    4   1.005467  -128.567379    23.458285       130.69   27.96540    0.90180    3
   3    1   11   1.003414    13.816114   139.080044      139.765   28.02379    1.02682    3
  -1   -3   11   1.003414    50.406639    31.973051      59.6918   28.02379    0.18730    3
   1    3  -11   1.003414    51.376387   -25.588196      57.3959   28.02379    0.17316    3
  -3   -1  -11   1.003414    28.837374  -136.506039      139.519   28.02379    1.02321    3
   3    3    0   1.002583   218.703516    -9.840048      218.925   28.04749    2.51482    3
  -3   -3    0   1.002583   216.043424    31.410344      218.315   28.04749    2.50083    3
   0    4  -10   0.992826    57.165981    28.022154      63.6647   28.32886    0.20820    3
   4    0   10   0.992826   -58.805204   -31.000706      66.4763   28.32886    0.22700    3
   5    0    5   0.986575   143.870838    92.296160      170.931   28.51214    1.48036    3
   0    5   -5   0.986575   150.163014   -74.071467      167.438   28.51214    1.42048    3
   3    3   -3   0.983850   -28.071689   -17.601831      33.1337   28.59279    0.05529    3
   3    3    3   0.983850   -75.497106     0.432330      75.4983   28.59279    0.28707    3
  -3   -3   -3   0.983850  -135.969759    48.389861      144.324   28.59279    1.04903    3
  -3   -3    3   0.983850    50.998939     5.009588      51.2444   28.59279    0.13225    3
   2    4    1   0.982496   126.023647   -36.764100      131.277   28.63304    0.86533    3
   4    2   -1   0.982496   -19.013409   -32.002748      37.2248   28.63304    0.06958    3
  -4   -2    1   0.982496   -25.008740    30.750262       39.636   28.63304    0.07888    3
